iter	Passed	Remaining
0	1	136
1	2	123
2	3	117
3	4	109
4	5	108
5	6	107
6	7	105
7	9	104
8	10	103
9	11	101
10	12	100
11	13	99
12	14	97
13	15	96
14	16	95
15	17	93
16	19	92
17	20	91
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	63	45
58	64	44
59	65	43
60	67	42
61	68	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	80	33
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	105	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	113	3
97	115	2
98	116	1
99	117	0
